scenario,date_utc,live_notes_before,liquidated_today,live_notes_after,stress_day,return_1d,vol_5d_ann,daily_buyback_paid_usdc,daily_unwind_cost_usdc,daily_buffer_usdc,min_event_buffer_usdc,max_event_ltv,cumulative_liquidations,cumulative_buyback_paid_usdc,cumulative_unwind_cost_usdc,cumulative_buffer_usdc
primary_lending_liquidation,2012-05-21,138,0,138,False,0.01718818894035401,0.2643849248614993,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-22,139,0,139,False,-0.006016992842839297,0.2647855599641306,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-23,140,0,140,False,0.0005295561712166386,0.2641862725219707,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-24,141,0,141,False,-0.0065537058569686835,0.22042109943537558,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-25,142,0,142,False,-0.003244493169409335,0.19127883512869961,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-29,143,0,143,False,0.012111966470862878,0.10928295517914331,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-30,144,0,144,False,-0.01917629243617669,0.17767818413089254,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-05-31,145,0,145,False,-0.004331789665200203,0.1715266120771959,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-01,146,0,146,False,-0.030088042269912796,0.24961911060964415,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-04,147,0,147,False,-0.0023028741485788817,0.24754670443851004,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-05,148,0,148,False,0.004107113592687117,0.24053613080858627,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-06,149,0,149,False,0.022468379421407336,0.2924072349129405,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-07,150,0,150,False,-0.00654107776073487,0.29601828976342975,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-08,151,0,151,False,0.007951556436891938,0.17940452057476045,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-11,152,0,152,False,-0.022086586341114156,0.2643615199483738,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-12,153,0,153,False,0.011490712006359427,0.26392467662051494,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-13,154,0,154,False,-0.01154558998581423,0.22150772059007887,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-14,155,0,155,False,0.003701907907327495,0.23534687168078913,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-15,156,0,156,False,0.005019840884225468,0.23486951990207358,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-18,157,0,157,False,0.0011654537227137052,0.15162272542188174,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-19,158,0,158,False,0.009672642193414793,0.16499847298083248,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-20,159,0,159,False,-0.0016212323187231314,0.11462386385801183,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-21,160,0,160,False,-0.024887264987297986,0.23287736940404336,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-22,161,0,161,False,0.007701632842480599,0.2278755376314813,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-25,162,0,162,False,-0.019258049493154128,0.2503034282701375,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-26,163,0,163,False,-0.0010487917191263074,0.22622456403110106,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-27,164,0,164,False,0.006078072062266626,0.24633951170205634,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
