scenario,note_id,entry_index,issue_date,event_date_utc,step_day,live_notes_before,worst_close_ratio,worst_low_ratio,knock_in_triggered,note_liability_usdc,buyback_price_usdc,borrow_amount_usdc,current_ltv,current_assets_usdc,hedge_cash_usdc,hedge_inventory_mark_usdc,unwind_cost_usdc,available_after_unwind_usdc,buffer_usdc,coverage_ratio,return_1d,vol_5d_ann,stress_day,trigger_reason,unwind_multiplier,spy_units,qqq_units
stress_concentration_coupled_book,2020-03-16,3505,2020-03-16,2020-04-01,12,15,1.026266364947474,1.0168855021467913,False,92.89393470181632,70.0,49.0,0.7,118.42483414366299,68.46349875633229,49.961335387330706,3.650134046901515,114.74971942906781,44.74971942906781,1.6392817061295402,-0.06814603778396677,0.7208417698749248,True,stress_day_forced_fraction,3.0,0.1384973571749457,0.0979960279328851
stress_concentration_coupled_book,2020-03-17,3506,2020-03-17,2020-06-11,60,43,1.1891217631433975,1.186748442025143,False,101.61498385096644,70.0,49.0,0.7,130.0135305453533,129.38798832847132,0.6255422168819731,3.600625592474742,126.41259218177011,56.41259218177011,1.8058941740252872,-0.07627578639447885,0.6457003685216478,True,stress_day_forced_fraction,3.0,0.0020966140215280954,8.054787134771646e-05
stress_concentration_coupled_book,2020-03-18,3507,2020-03-18,2020-06-11,59,43,1.2525416056315104,1.250041707356771,False,101.58478867829609,70.0,49.0,0.7,123.8429644263722,123.18320025915219,0.6597641672200252,1.8006598432312095,122.04197470105738,52.041974701057384,1.743456781443677,-0.07627578639447885,0.6457003685216478,True,stress_day_forced_fraction,3.0,0.002277746098829546,0.0
stress_concentration_coupled_book,2020-03-19,3508,2020-03-19,2020-06-11,58,43,1.2498856272811498,1.2473910299686026,False,101.66954094882571,70.0,49.0,0.7,126.454193231012,126.10720181406488,0.34699141694712027,1.8003469738984148,124.65367276140512,54.65367276140512,1.7807667537343588,-0.07627578639447885,0.6457003685216478,True,stress_day_forced_fraction,3.0,0.0,0.0015319661829716821
stress_concentration_coupled_book,2020-03-20,3509,2020-03-20,2020-06-11,57,43,1.313854813557674,1.311232542675091,False,101.8765216055631,70.0,49.0,0.7,123.94471246667551,123.67514271488311,0.26956975179239695,3.6002695105182574,120.34430817128136,50.344308171281355,1.7192044024468764,-0.07627578639447885,0.6457003685216478,True,stress_day_forced_fraction,3.0,0.00048024969026365036,0.0005759905499089363
stress_concentration_coupled_book,2020-03-23,3510,2020-03-23,2020-06-11,56,43,1.3483291745518573,1.3456380976550195,False,101.96134777451311,70.0,49.0,0.7,123.57039067890607,122.72128805419273,0.8491026247133452,1.8008492751406235,121.7691168524531,51.769116852453095,1.7395588121779013,-0.07627578639447885,0.6457003685216478,True,stress_day_forced_fraction,3.0,0.0029314113846103523,0.0
stress_concentration_coupled_book,2020-03-24,3511,2020-03-24,2020-06-11,55,43,1.236315002662679,1.2338474904233288,False,102.00091416228959,70.0,49.0,0.7,122.23111103839196,113.49369154297524,8.73741949541672,1.80875275947466,120.41798956916959,50.41798956916959,1.7202569938452799,-0.07627578639447885,0.6457003685216478,True,stress_day_forced_fraction,3.0,0.0,0.038575683834438435
stress_concentration_coupled_book,2020-03-25,3512,2020-03-25,2020-06-11,54,43,1.2180801228963518,1.2156490049326591,False,101.95549206086191,70.0,49.0,0.7,126.5509808341927,125.58606882366647,0.9649120105262352,1.8009651528479564,124.74953322533949,54.74953322533949,1.7821361889334213,-0.07627578639447885,0.6457003685216478,True,stress_day_forced_fraction,3.0,0.0033312275459739422,0.0
stress_concentration_coupled_book,2020-03-26,3513,2020-03-26,2020-06-11,53,43,1.1508804414346439,1.1485834446586178,False,101.23345800990815,70.0,49.0,0.7,120.53481823546647,104.46983592702574,16.06498230844074,3.6160991307177115,116.91068661359455,46.91068661359455,1.6701526659084935,-0.07627578639447885,0.6457003685216478,True,stress_day_forced_fraction,3.0,0.0072042068082084215,0.06171387623307092
stress_concentration_coupled_book,2020-03-27,3514,2020-03-27,2020-06-11,52,43,1.186212562242848,1.1838450474836635,False,101.9702643691443,70.0,49.0,0.7,121.22971534387445,117.46966105520721,3.7600542886672406,3.6037624638335677,117.62407285289656,47.62407285289656,1.6803438978985223,-0.07627578639447885,0.6457003685216478,True,stress_day_forced_fraction,3.0,0.0033302782874749526,0.0123417596672643
